,cevae_ite
987,-0.012632242
988,-0.019576654
989,-0.014435203
990,-0.020940483
991,-0.017258981
992,-0.016451919
993,-0.017552881
994,-0.0192175
995,-0.025894279
996,-0.015007566
997,-0.014033326
998,-0.019249417
999,-0.018839914
1000,-0.015374533
1001,-0.024222028
1002,-0.014017423
1003,-0.01454354
1004,-0.019148808
1005,-0.016150966
1006,-0.019942969
1007,-0.01358724
1008,-0.022564577
1009,-0.016703548
1010,-0.013760315
1011,-0.016634168
1012,-0.02202606
1013,-0.023846768
1014,-0.012657349
1015,-0.020453138
1016,-0.014706372
1017,-0.020453736
1018,-0.010748749
1019,-0.022766311
1020,-0.020642946
1021,-0.010688827
1022,-0.016325472
1023,-0.019742789
1024,-0.025106756
1025,-0.016337093
1026,-0.012612634
1027,-0.013840972
1028,-0.011090434
1029,-0.017558083
1030,-0.017087743
1031,-0.014683552
1032,-0.014449332
1033,-0.016221421
1034,-0.012845591
1035,-0.015561461
1036,-0.013554843
1037,-0.013538191
1038,-0.01423384
1039,-0.018737841
1040,-0.019755779
1041,-0.020805141
1042,-0.014899808
1043,-0.019082706
1044,-0.017373551
1045,-0.019058574
1046,-0.016865199
1047,-0.024779487
1048,-0.018150393
1049,-0.018038031
1050,-0.018067814
1051,-0.022232963
1052,-0.01711013
1053,-0.011756677
1054,-0.015685203
1055,-0.015354438
1056,-0.02015185
1057,-0.01534701
1058,-0.017977178
1059,-0.015760154
1060,-0.01463854
1061,-0.010691584
1062,-0.021454822
1063,-0.020816177
1064,-0.012877678
1065,-0.023178112
1066,-0.020228485
1067,-0.015739663
1068,-0.008245295
1069,-0.017794264
1070,-0.011215284
1071,-0.014618885
1072,-0.01765121
1073,-0.02275338
1074,-0.011879887
1075,-0.02312321
1076,-0.015211415
1077,-0.014959669
1078,-0.011793841
1079,-0.027433479
1080,-0.013384082
1081,-0.012784246
1082,-0.013303698
1083,-0.013497964
1084,-0.014916924
1085,-0.01484346
1086,-0.013627299
1087,-0.010870585
1088,-0.019009108
1089,-0.013017403
1090,-0.012878847
1091,-0.011078762
1092,-0.013810366
1093,-0.012462851
1094,-0.014845856
1095,-0.015735634
1096,-0.016444596
1097,-0.015690118
1098,-0.01798475
1099,-0.015739443
1100,-0.022467893
1101,-0.020131703
1102,-0.020114295
1103,-0.012680874
1104,-0.033247527
1105,-0.008156798
1106,-0.015059872
1107,-0.014512012
1108,-0.027622933
1109,-0.022811191
1110,-0.011544814
1111,-0.034991592
1112,-0.008723032
1113,-0.011091359
1114,-0.015389116
1115,-0.022090677
1116,-0.009398112
1117,-0.015896635
1118,-0.010026313
1119,-0.010274521
1120,-0.02132434
1121,-0.016897857
1122,-0.033010855
1123,-0.025892796
1124,-0.015709283
1125,-0.010901781
1126,-0.014308605
1127,-0.012763245
1128,-0.017031347
1129,-0.0137301
1130,-0.013878006
1131,-0.014541864
1132,-0.025872022
1133,-0.011491462
1134,-0.016442874
1135,-0.021269221
1136,-0.015341757
1137,-0.016397189
1138,-0.013549534
1139,-0.020147771
1140,-0.021978227
1141,-0.022298206
1142,-0.013208171
1143,-0.013094492
1144,-0.016920779
1145,-0.015431612
1146,-0.007440088
1147,-0.015524486
1148,-0.013842577
1149,-0.015107932
1150,-0.018466061
1151,-0.011451518
1152,-0.014766402
1153,-0.020386536
1154,-0.023032742
1155,-0.017949302
1156,-0.019235115
1157,-0.019653222
1158,-0.025350239
1159,-0.019068442
1160,-0.026457043
1161,-0.029171284
1162,-0.020343853
1163,-0.018434038
1164,-0.011156755
1165,-0.014323875
1166,-0.01490983
1167,-0.0097781
1168,-0.026004884
1169,-0.026501292
1170,-0.018145964
1171,-0.014173397
1172,-0.01292782
1173,-0.011899685
1174,-0.011061343
1175,-0.030981557
1176,-0.018009452
1177,-0.015604463
1178,-0.01819931
1179,-0.014874598
1180,-0.012647709
1181,-0.015488677
1182,-0.019595331
1183,-0.011346748
1184,-0.017148251
1185,-0.02114212
1186,-0.020039666
1187,-0.019802401
1188,-0.015689278
1189,-0.016297536
1190,-0.011960656
1191,-0.02068211
1192,-0.022154469
1193,-0.015113091
1194,-0.009578001
1195,-0.012005283
1196,-0.007217155
1197,-0.025901234
1198,-0.00960607
1199,-0.021706404
1200,-0.018919213
1201,-0.025549917
1202,-0.017188804
1203,-0.021146411
1204,-0.020038068
1205,-0.01740789
1206,-0.018278027
1207,-0.01462079
1208,-0.011804009
1209,-0.015137018
1210,-0.010175751
1211,-0.014305917
1212,-0.017635418
1213,-0.014419548
1214,-0.012121727
1215,-0.023023952
1216,-0.012048746
1217,-0.00935347
1218,-0.016237943
1219,-0.013522724
1220,-0.00886514
1221,-0.020607395
1222,-0.013649242
1223,-0.018450253
1224,-0.016528243
1225,-0.016147515
1226,-0.009968084
1227,-0.019633649
1228,-0.013448719
1229,-0.019454913
